age,income_per_month,monthly_expenses,risk_tolerance,financial_goal,goal_horizon_years,investment_experience,equity_percent,debt_percent,gold_percent,real_estate_percent
57,202958,132539,Medium,House,12,Expert,49.71,30.31,10.07,9.91
35,169381,51433,Medium,Retirement,27,Beginner,53.46,26.3,8.38,11.86
40,282425,216857,High,House,6,Beginner,85.28,7.87,6.86,0.0
34,139273,83016,Medium,Education,21,Beginner,59.31,32.99,7.7,0.0
45,166470,106444,Medium,Education,15,Intermediate,58.05,25.29,10.11,6.55
36,21969,7481,Low,Education,23,Expert,18.81,66.54,14.65,0.0
49,125823,51415,Medium,Education,5,Intermediate,63.95,27.09,8.96,0.0
46,145354,99015,Medium,Wealth Creation,18,Expert,56.97,33.28,9.75,0.0
32,193895,95376,Medium,House,14,Intermediate,54.42,24.42,9.92,11.24
25,178056,61541,Low,Education,28,Intermediate,14.85,60.9,9.36,14.89
45,131279,66591,Low,House,21,Beginner,22.61,64.74,12.65,0.0
58,49165,16416,Medium,House,6,Expert,50.7,39.54,9.76,0.0
43,176498,70721,High,House,11,Beginner,74.68,7.97,9.59,7.76
21,47723,19122,Medium,Wealth Creation,15,Intermediate,63.4,26.72,9.88,0.0
52,99973,74289,Low,Wealth Creation,3,Beginner,14.88,74.67,10.45,0.0
29,127522,60868,Medium,Wealth Creation,26,Beginner,59.16,30.29,10.54,0.0
49,283321,220828,Low,Wealth Creation,12,Intermediate,17.67,71.53,10.81,0.0
56,232781,129723,High,Wealth Creation,12,Intermediate,83.86,4.3,7.23,4.6
35,148803,53546,Medium,Wealth Creation,19,Beginner,50.98,39.17,9.85,0.0
54,157084,97240,Low,Retirement,16,Beginner,19.9,57.83,11.81,10.46
28,141999,97290,Low,Wealth Creation,18,Beginner,19.28,68.55,12.18,0.0
50,250662,189212,Low,Wealth Creation,12,Expert,17.72,68.93,13.35,0.0
56,127971,50540,Medium,Education,7,Expert,61.6,30.05,8.35,0.0
33,231830,134978,Medium,House,22,Intermediate,51.98,26.95,10.3,10.77
44,96153,67365,Low,Education,29,Beginner,27.43,62.23,10.34,0.0
47,54084,38308,Medium,Education,18,Beginner,57.91,32.11,9.98,0.0
45,254386,157886,Low,House,10,Intermediate,16.99,62.53,7.94,12.53
54,299158,170279,Low,Retirement,17,Beginner,17.48,63.45,10.22,8.85
31,77993,32557,Low,House,14,Expert,28.5,61.25,10.25,0.0
55,24358,19228,Low,Wealth Creation,3,Intermediate,19.77,69.99,10.24,0.0
31,213510,93424,Medium,Wealth Creation,14,Expert,48.75,32.68,10.42,8.15
56,132356,53916,High,House,9,Beginner,82.49,9.69,7.82,0.0
24,136492,105262,Medium,Education,2,Beginner,54.08,34.06,11.87,0.0
28,185575,129466,Medium,Retirement,22,Beginner,55.28,29.54,8.96,6.22
22,145541,102238,High,Retirement,3,Beginner,82.17,12.36,5.47,0.0
56,62828,34684,Low,House,15,Expert,18.73,71.48,9.79,0.0
36,88619,55913,High,Retirement,16,Intermediate,76.22,13.49,10.3,0.0
43,122747,92746,Low,Retirement,8,Expert,12.28,77.18,10.54,0.0
21,233277,168435,Low,House,20,Intermediate,27.06,59.24,13.7,0.0
53,96559,39666,High,House,6,Expert,85.53,7.46,7.01,0.0
43,239249,156102,Medium,Retirement,21,Intermediate,53.37,23.06,9.87,13.7
43,38073,14688,Medium,House,18,Intermediate,55.69,34.77,9.54,0.0
42,222043,131224,High,Wealth Creation,20,Beginner,66.8,14.98,6.66,11.57
55,211703,108543,Medium,House,14,Beginner,57.01,29.76,7.87,5.36
41,288865,107268,Low,Education,3,Beginner,14.31,65.5,7.73,12.46
45,49984,35638,Medium,House,14,Intermediate,50.95,36.99,12.07,0.0
23,186370,107023,High,House,6,Beginner,76.29,11.81,6.0,5.91
45,51822,29437,Medium,House,13,Intermediate,55.73,35.16,9.1,0.0
33,225342,101215,High,Retirement,20,Beginner,77.7,5.67,9.77,6.85
22,254555,169188,Low,House,19,Expert,19.83,62.96,9.08,8.12
31,197404,151283,High,Retirement,24,Intermediate,81.12,10.72,8.16,0.0
41,222056,116947,Medium,Retirement,14,Expert,49.13,32.37,7.77,10.73
59,74823,45758,Medium,Retirement,5,Intermediate,60.43,30.19,9.38,0.0
58,269062,137727,Medium,Retirement,5,Beginner,56.95,28.6,5.89,8.56
48,119853,67129,Low,Education,5,Intermediate,17.31,75.86,6.84,0.0
47,26548,10257,Medium,Retirement,6,Beginner,52.5,40.9,6.6,0.0
59,242084,168945,Medium,Retirement,13,Beginner,48.38,24.42,12.98,14.22
52,282307,126116,Low,House,3,Beginner,15.19,68.34,8.14,8.32
46,30749,15051,Low,Education,2,Expert,11.69,80.01,8.29,0.0
49,276553,200325,Low,Education,9,Intermediate,13.66,74.83,11.51,0.0
22,23631,13261,Medium,Wealth Creation,1,Intermediate,55.14,31.67,13.18,0.0
41,273211,209697,Medium,Retirement,2,Beginner,46.76,44.65,8.59,0.0
37,27099,12055,Medium,Education,24,Beginner,66.57,20.89,12.54,0.0
43,243332,114990,Medium,Retirement,13,Expert,45.02,31.56,10.34,13.08
55,121015,47584,Medium,Wealth Creation,5,Intermediate,58.86,32.56,8.58,0.0
56,221139,169975,High,House,7,Beginner,82.27,10.53,7.2,0.0
25,124797,96820,Medium,Education,8,Expert,63.69,28.71,7.61,0.0
48,168702,111673,Medium,House,8,Intermediate,56.83,29.92,6.53,6.73
24,193672,117661,Low,Wealth Creation,25,Expert,21.86,50.65,13.11,14.38
32,299297,149554,Low,Education,13,Beginner,20.27,57.49,10.87,11.37
31,167977,96231,High,Wealth Creation,17,Intermediate,78.14,6.4,7.53,7.92
45,197876,136333,Medium,Education,19,Beginner,55.36,25.82,7.35,11.47
59,57643,34932,Low,House,15,Beginner,18.26,70.54,11.2,0.0
28,118605,59492,Low,Retirement,14,Intermediate,26.9,64.19,8.91,0.0
42,78005,44115,Medium,Wealth Creation,25,Beginner,70.84,20.58,8.58,0.0
49,139246,97504,Medium,Education,27,Beginner,65.38,26.85,7.77,0.0
33,23754,17786,Low,Wealth Creation,29,Beginner,26.8,64.53,8.67,0.0
43,202684,90530,Medium,Education,7,Beginner,50.11,36.5,6.97,6.42
36,75147,48404,Medium,House,3,Expert,67.36,24.75,7.89,0.0
54,261130,146395,Medium,Education,10,Expert,48.49,32.1,8.91,10.5
33,137235,88871,Medium,Retirement,10,Intermediate,63.72,23.9,12.38,0.0
34,165016,69377,Medium,House,21,Intermediate,56.76,26.02,8.44,8.78
39,120483,45740,High,House,4,Beginner,75.16,17.31,7.54,0.0
57,123892,50276,Low,Retirement,8,Beginner,18.35,73.21,8.44,0.0
40,88099,62489,Medium,Retirement,14,Expert,68.15,22.61,9.24,0.0
24,129079,38884,Low,Wealth Creation,18,Beginner,27.93,60.58,11.49,0.0
39,62092,48398,Low,Retirement,26,Beginner,24.79,64.72,10.48,0.0
56,287613,115137,Low,Education,17,Beginner,21.66,55.57,9.66,13.1
31,53787,37757,Low,Wealth Creation,13,Beginner,17.37,70.75,11.88,0.0
47,181326,138442,Medium,Education,28,Expert,57.84,31.2,10.96,0.0
30,185937,102631,High,House,13,Beginner,71.69,10.24,8.19,9.88
39,103369,56132,Medium,Retirement,14,Expert,58.95,29.84,11.21,0.0
40,153168,71229,Low,Retirement,5,Beginner,20.09,61.09,5.12,13.7
55,284983,154414,Medium,Retirement,4,Beginner,59.54,24.95,8.67,6.84
51,87155,40121,Low,Wealth Creation,25,Intermediate,33.35,57.58,9.07,0.0
50,160629,123159,Medium,Education,7,Intermediate,50.32,42.69,7.0,0.0
36,251390,85250,Medium,Wealth Creation,25,Beginner,64.28,20.18,9.93,5.61
40,37073,15121,Low,Wealth Creation,27,Beginner,19.68,71.96,8.36,0.0
31,86707,37930,Low,House,16,Beginner,32.47,56.37,11.16,0.0
34,271924,109805,Medium,Education,3,Expert,58.54,25.59,7.19,8.69
41,49055,24839,Medium,Education,25,Intermediate,62.35,23.88,13.76,0.0
27,184437,74777,Low,House,1,Expert,13.65,62.83,10.16,13.36
59,65232,40577,Medium,Wealth Creation,2,Beginner,42.45,46.73,10.81,0.0
41,103457,45394,High,Retirement,16,Beginner,81.66,6.23,12.11,0.0
59,113269,42515,Medium,House,15,Intermediate,56.93,33.49,9.58,0.0
52,163891,124072,High,House,4,Expert,80.99,12.93,6.09,0.0
41,20781,13782,Medium,Wealth Creation,9,Intermediate,54.47,37.25,8.29,0.0
22,101816,52807,Medium,House,3,Beginner,60.33,31.91,7.76,0.0
26,199635,86280,Medium,Wealth Creation,25,Beginner,59.54,22.22,10.39,7.85
32,81001,57543,Medium,House,9,Intermediate,55.29,35.06,9.64,0.0
35,239055,139537,High,House,8,Intermediate,74.24,11.53,7.67,6.56
36,26530,19075,Low,House,3,Intermediate,27.8,63.27,8.93,0.0
48,270870,170348,Medium,Retirement,8,Beginner,54.54,31.18,5.43,8.86
26,288050,220078,Low,House,9,Expert,23.97,65.33,10.69,0.0
41,139052,98196,Medium,House,4,Beginner,55.6,36.72,7.68,0.0
47,291896,142994,Medium,Education,1,Intermediate,34.08,48.11,7.26,10.55
55,166108,127107,Low,Retirement,29,Expert,18.7,72.41,8.89,0.0
31,238561,123710,High,Wealth Creation,12,Expert,71.78,8.21,8.33,11.68
48,210237,132686,Medium,Wealth Creation,21,Intermediate,54.15,22.79,12.34,10.72
54,196168,130836,Medium,Retirement,15,Beginner,49.59,29.88,9.44,11.08
37,92516,45812,Medium,Wealth Creation,15,Beginner,62.89,23.54,13.57,0.0
54,152161,82994,High,Education,8,Intermediate,66.62,15.59,5.97,11.83
21,41447,16264,High,House,23,Beginner,78.18,9.71,12.1,0.0
58,132782,49362,High,Retirement,21,Intermediate,75.39,13.82,10.79,0.0
37,118696,80506,Medium,House,28,Expert,63.14,24.43,12.42,0.0
47,87990,44158,Medium,Education,24,Intermediate,62.82,26.5,10.69,0.0
55,197810,131021,Medium,House,14,Beginner,62.51,21.0,10.44,6.04
58,54518,37496,Low,Education,16,Expert,23.54,64.9,11.56,0.0
39,287219,114530,Medium,House,9,Beginner,44.83,35.59,6.23,13.35
34,275095,132613,Low,Education,21,Beginner,24.9,58.43,10.26,6.41
45,115028,85422,Medium,Wealth Creation,9,Beginner,53.42,40.49,6.09,0.0
24,201211,75212,High,Wealth Creation,9,Beginner,69.58,9.82,9.66,10.94
36,55292,25864,Medium,Wealth Creation,17,Intermediate,59.61,30.5,9.89,0.0
41,69812,34558,High,Retirement,20,Beginner,77.8,11.3,10.89,0.0
29,247208,120565,Low,House,3,Intermediate,20.77,62.54,7.27,9.42
32,157653,119148,Low,Education,15,Beginner,18.37,70.8,10.83,0.0
42,165639,130095,Low,House,19,Intermediate,20.91,67.47,11.62,0.0
27,250147,162489,Medium,Wealth Creation,12,Intermediate,51.04,27.74,10.96,10.26
21,183399,97089,High,Retirement,6,Expert,72.38,9.61,7.42,10.6
46,155450,87218,Medium,Wealth Creation,19,Beginner,48.14,34.1,8.32,9.44
